cep,rua,bairro,id_cidade,id_bairro,nome_cidade,id_estado,nome_estado,sigla_estado,cidade_counts,latitude,longitude
38440328,Rua Alecrim,Santa Helena,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38446137,Travessa Três de Abril,Amorim,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38443136,Rua dos Angicos,São Sebastião,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38446223,Rua Vitória,Milenium,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38440001,Praça Gaioso Neves,Centro,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38442046,Rua Maria José Povoa,Industrial,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38440193,"Rua Natal Mujalli, de 700/701 ao fim",Santa Helena,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38442900,"Maguari - Indústrias Alimentícias, Avenida Hugo Alessi, 855",Industrial,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38444007,Avenida Calimério Pereira de Ávila,Miranda,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38441066,Rua Rialma,Brasília,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38440342,Rua Buganvile,Santa Helena,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38446217,Rua Um,Jardim Regina,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38446283,Travessa Três,Beatriz,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38441549,Rua Pastor Florentino Ferreira,Fátima,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38445062,Rua Nivaldo Rodrigues de Freitas,Paraíso,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38446237,Rua Oitenta,Nossa Senhora da Penha,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38447222,Rua Cinco,Santa Terezinha,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38442085,Rua João Pedro Figueiredo,Goiás,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38446245,Avenida Nossa Senhora da Penha,Nossa Senhora da Penha,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38443142,Rua Antônio Batista da Silva,Vieno,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38444128,Avenida Minas Gerais,Miranda,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38443148,Rua José Monteiro Araújo,Vieno,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38441465,Rua dos Quatro (Res B Suíça),Fátima,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38445125,Rua Sérgio Rodrigues Gimenes,Sibipiruna,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38446301,Rua Angico,Beatriz,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38445000,Rua São José,Paraíso,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38440220,Rua Padre Lafaiete,Centro,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38440042,Avenida Minas Gerais - lado par,Centro,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38440900,"Maqnelson Ltda, Avenida Santos Dumont, 30",Jardim Regina,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38444326,Rua Engenheiro Bethou,Santiago,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38445228,Travessa Trinta e Quatro,Sibipiruna,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38441018,Rua Dois (Res A Matinha),Brasília,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
